tag,metric,psp,ours,delta,ci95_low,ci95_high,samples,seed
color_attr,geneval,0.16,0.18,0.02,-0.04,0.08,10000,20260919
colors,geneval,0.8723404255319149,0.8404255319148937,-0.031914893617021274,-0.0851063829787234,0.010638297872340425,10000,20260919
counting,geneval,0.525,0.525,0.0,-0.0875,0.0875,10000,20260919
position,geneval,0.13,0.15,0.02,-0.02,0.06,10000,20260919
single_object,geneval,1.0,1.0,0.0,0.0,0.0,10000,20260919
two_object,geneval,0.6868686868686869,0.696969696969697,0.010101010101010102,-0.06060606060606061,0.0707070707070707,10000,20260919
