method,schedule,logical_unet_evals,image_reward,hps,geneval,runtime_mean_s,runtime_median_s,runtime_p90_s,throughput_prompt_s_per_gpu,online_reward_mean_s,peak_vram_mean_gib,peak_vram_max_gib,batched_verifier_calls,verifier_candidate_scores
psp,8→4@16→2@32,256,0.8446194650470591,0.278091252389049,0.5443037974683544,42.69885746369073,41.92058382500181,43.85659359019955,0.023419830398280727,4.05530110184454,5.245241165161133,5.245241165161133,3,14
ours,9→2@17,247,0.8283124347794195,0.278398896508579,0.5479204339963833,40.73351737533096,39.95190710800125,41.854438598598065,0.024549807245608013,3.1666977512060885,5.372836112976074,5.372836112976074,2,11
